iter	SurvivalAft	SurvivalAft:dist=Normal
108	0.8554792875	0.8554792875
109	0.852409635	0.852409635
110	0.8502865353	0.8502865353
111	0.8491696544	0.8491696544
112	0.8484754969	0.8484754969
113	0.8481172538	0.8481172538
114	0.8475329599	0.8475329599
115	0.8444538641	0.8444538641
116	0.8422341889	0.8422341889
117	0.8376357644	0.8376357644
118	0.8371329724	0.8371329724
119	0.8314582842	0.8314582842
120	0.8289434752	0.8289434752
121	0.8284666191	0.8284666191
122	0.8264383526	0.8264383526
123	0.8249862207	0.8249862207
124	0.8230326165	0.8230326165
125	0.8215221641	0.8215221641
126	0.8216709374	0.8216709374
127	0.8206142424	0.8206142424
128	0.8195379587	0.8195379587
129	0.8155697472	0.8155697472
130	0.8139730015	0.8139730015
131	0.8111645896	0.8111645896
132	0.8109707287	0.8109707287
133	0.8099201947	0.8099201947
134	0.808975516	0.808975516
135	0.8069531673	0.8069531673
136	0.8057144776	0.8057144776
137	0.8054498178	0.8054498178
138	0.8049588321	0.8049588321
139	0.8030682043	0.8030682043
140	0.7998852321	0.7998852321
141	0.7977836604	0.7977836604
142	0.7958125503	0.7958125503
143	0.7927250779	0.7927250779
144	0.7915940414	0.7915940414
145	0.7888673565	0.7888673565
146	0.7871254867	0.7871254867
147	0.7837076587	0.7837076587
148	0.7815718632	0.7815718632
149	0.7785402702	0.7785402702
150	0.7782729825	0.7782729825
151	0.7745050237	0.7745050237
152	0.7731547425	0.7731547425
153	0.7701994329	0.7701994329
154	0.7686273568	0.7686273568
155	0.76657472	0.76657472
156	0.7642632367	0.7642632367
157	0.7624445535	0.7624445535
158	0.7592165055	0.7592165055
159	0.756522497	0.756522497
160	0.7542368622	0.7542368622
161	0.7545039502	0.7545039502
162	0.7532655396	0.7532655396
163	0.7517915635	0.7517915635
164	0.7514245251	0.7514245251
165	0.7494023819	0.7494023819
166	0.7482424231	0.7482424231
167	0.7469221674	0.7469221674
168	0.7433598577	0.7433598577
169	0.7421269481	0.7421269481
170	0.7435438612	0.7435438612
171	0.7423176832	0.7423176832
172	0.7416522373	0.7416522373
173	0.7393563653	0.7393563653
174	0.738315341	0.738315341
175	0.7368799379	0.7368799379
176	0.7346556394	0.7346556394
177	0.7343781564	0.7343781564
178	0.7324116978	0.7324116978
179	0.7315875686	0.7315875686
180	0.731568613	0.731568613
181	0.7315545775	0.7315545775
182	0.7298536009	0.7298536009
183	0.730624858	0.730624858
184	0.7301713469	0.7301713469
185	0.7291236328	0.7291236328
186	0.7290142768	0.7290142768
187	0.7304620113	0.7304620113
188	0.7279397338	0.7279397338
189	0.7279353696	0.7279353696
190	0.7281035756	0.7281035756
191	0.7243344404	0.7243344404
192	0.7231465523	0.7231465523
193	0.7237845984	0.7237845984
194	0.7235631899	0.7235631899
195	0.7239430527	0.7239430527
196	0.722292245	0.722292245
197	0.7187411095	0.7187411095
198	0.7169294532	0.7169294532
199	0.7160445796	0.7160445796
200	0.7169301236	0.7169301236
201	0.7146022299	0.7146022299
202	0.7152100435	0.7152100435
203	0.7141231803	0.7141231803
204	0.7117940558	0.7117940558
205	0.7115206527	0.7115206527
206	0.7113164824	0.7113164824
207	0.7088961682	0.7088961682
208	0.7093036817	0.7093036817
209	0.7069244864	0.7069244864
210	0.7051751865	0.7051751865
211	0.7038766028	0.7038766028
212	0.7016144111	0.7016144111
213	0.7019937601	0.7019937601
214	0.7007586877	0.7007586877
215	0.7003864996	0.7003864996
216	0.6998521462	0.6998521462
217	0.6982370907	0.6982370907
218	0.6988279111	0.6988279111
219	0.6971988546	0.6971988546
220	0.6967198799	0.6967198799
221	0.6960038133	0.6960038133
222	0.6961953189	0.6961953189
223	0.6938425349	0.6938425349
224	0.6933590476	0.6933590476
225	0.6930890736	0.6930890736
226	0.6927413516	0.6927413516
227	0.6908195357	0.6908195357
228	0.687866619	0.687866619
229	0.6863610727	0.6863610727
230	0.6855219024	0.6855219024
231	0.6848235065	0.6848235065
232	0.683938808	0.683938808
233	0.6835558191	0.6835558191
234	0.6838177214	0.6838177214
235	0.6814749404	0.6814749404
236	0.6819628381	0.6819628381
237	0.6819741113	0.6819741113
238	0.6807416735	0.6807416735
239	0.6793670496	0.6793670496
240	0.6786776824	0.6786776824
241	0.6787926623	0.6787926623
242	0.6786205626	0.6786205626
243	0.6772169228	0.6772169228
244	0.6769232617	0.6769232617
245	0.6770345541	0.6770345541
246	0.676659849	0.676659849
247	0.6749764138	0.6749764138
248	0.6747547651	0.6747547651
249	0.674321174	0.674321174
250	0.67336193	0.67336193
251	0.6727032591	0.6727032591
252	0.6725983535	0.6725983535
253	0.6726427188	0.6726427188
254	0.6712751357	0.6712751357
255	0.6699142875	0.6699142875
256	0.6663422452	0.6663422452
257	0.6656824161	0.6656824161
258	0.6637302238	0.6637302238
259	0.6624918728	0.6624918728
260	0.6626151193	0.6626151193
261	0.6614901222	0.6614901222
262	0.6617150243	0.6617150243
263	0.6619809672	0.6619809672
264	0.659523191	0.659523191
265	0.6588121229	0.6588121229
266	0.6577206137	0.6577206137
267	0.6579557092	0.6579557092
268	0.6572216717	0.6572216717
269	0.656845195	0.656845195
270	0.6547076968	0.6547076968
271	0.6527492016	0.6527492016
272	0.6522858312	0.6522858312
273	0.6528413023	0.6528413023
274	0.6528678254	0.6528678254
275	0.6521203417	0.6521203417
276	0.6513990941	0.6513990941
277	0.6479622881	0.6479622881
278	0.6483605467	0.6483605467
279	0.646251471	0.646251471
280	0.6465730048	0.6465730048
281	0.6454130976	0.6454130976
282	0.6437297399	0.6437297399
283	0.6426562669	0.6426562669
284	0.6428707342	0.6428707342
285	0.64182889	0.64182889
286	0.641469879	0.641469879
287	0.6406567523	0.6406567523
288	0.6407276224	0.6407276224
289	0.6403658893	0.6403658893
290	0.6391765684	0.6391765684
291	0.6377097912	0.6377097912
292	0.6358861658	0.6358861658
293	0.635445494	0.635445494
294	0.6354109097	0.6354109097
295	0.6342731017	0.6342731017
296	0.6337385698	0.6337385698
297	0.6336612078	0.6336612078
298	0.6324458298	0.6324458298
299	0.6312985347	0.6312985347
300	0.6312297446	0.6312297446
301	0.6299922791	0.6299922791
302	0.6300024337	0.6300024337
303	0.6302944035	0.6302944035
304	0.6291069881	0.6291069881
305	0.628766875	0.628766875
306	0.6278905931	0.6278905931
307	0.6268516361	0.6268516361
308	0.6254504658	0.6254504658
309	0.6235975525	0.6235975525
310	0.6224526246	0.6224526246
311	0.6226002462	0.6226002462
312	0.6215268498	0.6215268498
313	0.6216483477	0.6216483477
314	0.6205539278	0.6205539278
315	0.6196427263	0.6196427263
316	0.6192436009	0.6192436009
317	0.6181072695	0.6181072695
318	0.6178174784	0.6178174784
319	0.6179330872	0.6179330872
320	0.6179079404	0.6179079404
321	0.6182535676	0.6182535676
322	0.6171533336	0.6171533336
323	0.616284374	0.616284374
324	0.6149715677	0.6149715677
325	0.6137486194	0.6137486194
326	0.6121958509	0.6121958509
327	0.6121484358	0.6121484358
328	0.6110899409	0.6110899409
329	0.6113365912	0.6113365912
330	0.6108612386	0.6108612386
331	0.6101684403	0.6101684403
332	0.6098939055	0.6098939055
333	0.6087455129	0.6087455129
334	0.6081221724	0.6081221724
335	0.6076465147	0.6076465147
336	0.6063837614	0.6063837614
337	0.6055468427	0.6055468427
338	0.6046437317	0.6046437317
339	0.6043653031	0.6043653031
340	0.604195368	0.604195368
341	0.6034438214	0.6034438214
342	0.601813928	0.601813928
343	0.601055867	0.601055867
344	0.5998636879	0.5998636879
345	0.5988353473	0.5988353473
346	0.5986723899	0.5986723899
347	0.5970850978	0.5970850978
348	0.5960608287	0.5960608287
349	0.5959148839	0.5959148839
350	0.5941566643	0.5941566643
351	0.5934312299	0.5934312299
352	0.5936394498	0.5936394498
353	0.5922391935	0.5922391935
354	0.5915287384	0.5915287384
355	0.5911174014	0.5911174014
356	0.5900782196	0.5900782196
357	0.5898406615	0.5898406615
358	0.5899846335	0.5899846335
359	0.5904561969	0.5904561969
360	0.5891602585	0.5891602585
361	0.5896082005	0.5896082005
362	0.589207572	0.589207572
363	0.5893832368	0.5893832368
364	0.5893002309	0.5893002309
365	0.5895939106	0.5895939106
366	0.5897533052	0.5897533052
367	0.5896567227	0.5896567227
368	0.5889558296	0.5889558296
369	0.5869784731	0.5869784731
370	0.5874580423	0.5874580423
371	0.5872019789	0.5872019789
372	0.5870900168	0.5870900168
373	0.5857040083	0.5857040083
374	0.5846869477	0.5846869477
375	0.5842482106	0.5842482106
376	0.5843987728	0.5843987728
377	0.5830342422	0.5830342422
378	0.5826301376	0.5826301376
379	0.5822799858	0.5822799858
380	0.5810286681	0.5810286681
381	0.5811189619	0.5811189619
382	0.5796397895	0.5796397895
383	0.5793239405	0.5793239405
384	0.5784485961	0.5784485961
385	0.578353314	0.578353314
386	0.5767072968	0.5767072968
387	0.5771671437	0.5771671437
388	0.5763045752	0.5763045752
389	0.5761389341	0.5761389341
390	0.5753429409	0.5753429409
391	0.5750387968	0.5750387968
392	0.5753739201	0.5753739201
393	0.5743159837	0.5743159837
394	0.5739955736	0.5739955736
395	0.5730464924	0.5730464924
396	0.572693538	0.572693538
397	0.5728494034	0.5728494034
398	0.5728160445	0.5728160445
399	0.5722303802	0.5722303802
400	0.570139576	0.570139576
401	0.5703579965	0.5703579965
402	0.5688252352	0.5688252352
403	0.5675641856	0.5675641856
404	0.5675381406	0.5675381406
405	0.5678434022	0.5678434022
406	0.5653934016	0.5653934016
407	0.5641688636	0.5641688636
408	0.5629829121	0.5629829121
409	0.561879639	0.561879639
410	0.5620043146	0.5620043146
411	0.5619641607	0.5619641607
412	0.5616056798	0.5616056798
413	0.5605825118	0.5605825118
414	0.5599155267	0.5599155267
415	0.5598271794	0.5598271794
416	0.558760068	0.558760068
417	0.5583041409	0.5583041409
418	0.5584499487	0.5584499487
419	0.5579109865	0.5579109865
420	0.5575456032	0.5575456032
421	0.556636482	0.556636482
422	0.5561445609	0.5561445609
423	0.5556681446	0.5556681446
424	0.5536408498	0.5536408498
425	0.5543913783	0.5543913783
426	0.5540043157	0.5540043157
427	0.5521683134	0.5521683134
428	0.5509346329	0.5509346329
429	0.5502459496	0.5502459496
430	0.5502410499	0.5502410499
431	0.5498671555	0.5498671555
432	0.5485898257	0.5485898257
433	0.5474129077	0.5474129077
434	0.5465806082	0.5465806082
435	0.5452700454	0.5452700454
436	0.5444437683	0.5444437683
437	0.5433794972	0.5433794972
438	0.5416072976	0.5416072976
439	0.5414906244	0.5414906244
440	0.5418101969	0.5418101969
441	0.541728968	0.541728968
442	0.5408753243	0.5408753243
443	0.5407285818	0.5407285818
444	0.5400334413	0.5400334413
445	0.5396950727	0.5396950727
446	0.5393765194	0.5393765194
447	0.5396485744	0.5396485744
448	0.5390919385	0.5390919385
449	0.5391064212	0.5391064212
450	0.5380412402	0.5380412402
451	0.5366093231	0.5366093231
452	0.5339479253	0.5339479253
453	0.5341579422	0.5341579422
454	0.5334143011	0.5334143011
455	0.5327361747	0.5327361747
456	0.5321793856	0.5321793856
457	0.5316384397	0.5316384397
458	0.5314911466	0.5314911466
459	0.5311292491	0.5311292491
460	0.5305680144	0.5305680144
461	0.5310493823	0.5310493823
462	0.5310675656	0.5310675656
463	0.5311223373	0.5311223373
464	0.5300216177	0.5300216177
465	0.5288818321	0.5288818321
466	0.5272025233	0.5272025233
467	0.5271921273	0.5271921273
468	0.5272967714	0.5272967714
469	0.527403852	0.527403852
470	0.5265991179	0.5265991179
471	0.5256817952	0.5256817952
472	0.5249970276	0.5249970276
473	0.5245474034	0.5245474034
474	0.5241520577	0.5241520577
475	0.5239376042	0.5239376042
476	0.5238694214	0.5238694214
477	0.5236532251	0.5236532251
478	0.523771287	0.523771287
479	0.5232859518	0.5232859518
480	0.5225701474	0.5225701474
481	0.5225240318	0.5225240318
482	0.5206654216	0.5206654216
483	0.5199957366	0.5199957366
484	0.5198506376	0.5198506376
485	0.5192593665	0.5192593665
486	0.5177892228	0.5177892228
487	0.5170805255	0.5170805255
488	0.5156953968	0.5156953968
489	0.5139652838	0.5139652838
490	0.5126466347	0.5126466347
491	0.5122625657	0.5122625657
492	0.511820918	0.511820918
493	0.5121311875	0.5121311875
494	0.5122748612	0.5122748612
495	0.5103994628	0.5103994628
496	0.5087187144	0.5087187144
497	0.5089954898	0.5089954898
498	0.5085304381	0.5085304381
499	0.5070339757	0.5070339757
500	0.5057373474	0.5057373474
501	0.5040135502	0.5040135502
502	0.5032864994	0.5032864994
503	0.5024773334	0.5024773334
504	0.5023126194	0.5023126194
505	0.501290208	0.501290208
506	0.5002872898	0.5002872898
507	0.4993637773	0.4993637773
508	0.498457481	0.498457481
509	0.4979500323	0.4979500323
510	0.4970681802	0.4970681802
511	0.4973189776	0.4973189776
512	0.4975487979	0.4975487979
513	0.4978893528	0.4978893528
514	0.4975316499	0.4975316499
515	0.4969877889	0.4969877889
516	0.4961688091	0.4961688091
517	0.4935450474	0.4935450474
518	0.4930703194	0.4930703194
519	0.4932165936	0.4932165936
520	0.4928649636	0.4928649636
521	0.4930291436	0.4930291436
522	0.4932928852	0.4932928852
523	0.4918300346	0.4918300346
524	0.4912466658	0.4912466658
525	0.4905745082	0.4905745082
526	0.4899591616	0.4899591616
527	0.4890257429	0.4890257429
528	0.4882901502	0.4882901502
529	0.4868789611	0.4868789611
530	0.4861961987	0.4861961987
531	0.4863572322	0.4863572322
532	0.48630803	0.48630803
533	0.4865274921	0.4865274921
534	0.4857639635	0.4857639635
535	0.4858917059	0.4858917059
536	0.4850459807	0.4850459807
537	0.4856716894	0.4856716894
538	0.4834154521	0.4834154521
539	0.4833104111	0.4833104111
540	0.4830303335	0.4830303335
541	0.4818864068	0.4818864068
542	0.4819753156	0.4819753156
543	0.4820765057	0.4820765057
544	0.4821199065	0.4821199065
545	0.4819469804	0.4819469804
546	0.4809377123	0.4809377123
547	0.4805211975	0.4805211975
548	0.4806593265	0.4806593265
549	0.4809303978	0.4809303978
550	0.4809720344	0.4809720344
551	0.4793794305	0.4793794305
552	0.479367469	0.479367469
553	0.4783331578	0.4783331578
554	0.4774094677	0.4774094677
555	0.4765504839	0.4765504839
556	0.476734564	0.476734564
557	0.4763350363	0.4763350363
558	0.4754817122	0.4754817122
559	0.475379768	0.475379768
560	0.4743284922	0.4743284922
561	0.4740207034	0.4740207034
562	0.4726392653	0.4726392653
563	0.4720979803	0.4720979803
564	0.4720231038	0.4720231038
565	0.4717901417	0.4717901417
566	0.4717656224	0.4717656224
567	0.4719209366	0.4719209366
568	0.4717447792	0.4717447792
569	0.4717654629	0.4717654629
570	0.4717819825	0.4717819825
571	0.4708642164	0.4708642164
572	0.4709313332	0.4709313332
573	0.4710336673	0.4710336673
574	0.4706110524	0.4706110524
575	0.4701672716	0.4701672716
576	0.4699433947	0.4699433947
577	0.4696642616	0.4696642616
578	0.4693273182	0.4693273182
579	0.4690527911	0.4690527911
580	0.4692143841	0.4692143841
581	0.4693305464	0.4693305464
582	0.469439322	0.469439322
583	0.4688706608	0.4688706608
584	0.4683530772	0.4683530772
585	0.4668066102	0.4668066102
586	0.4649133096	0.4649133096
587	0.4647620104	0.4647620104
588	0.4633625458	0.4633625458
589	0.4620607583	0.4620607583
590	0.4621334908	0.4621334908
591	0.4612860989	0.4612860989
592	0.4606848085	0.4606848085
593	0.4606974712	0.4606974712
594	0.4598128933	0.4598128933
595	0.4598442654	0.4598442654
596	0.457716138	0.457716138
597	0.4579460691	0.4579460691
598	0.4582023647	0.4582023647
599	0.4577882379	0.4577882379
600	0.4579028734	0.4579028734
601	0.4578493149	0.4578493149
602	0.4579705882	0.4579705882
603	0.4575616175	0.4575616175
604	0.4577332173	0.4577332173
605	0.4578152418	0.4578152418
606	0.4575917294	0.4575917294
607	0.4572123925	0.4572123925
608	0.4570701597	0.4570701597
609	0.457214503	0.457214503
610	0.4571599072	0.4571599072
611	0.4562206707	0.4562206707
612	0.4554007446	0.4554007446
613	0.455452748	0.455452748
614	0.4555510877	0.4555510877
615	0.4554782022	0.4554782022
616	0.455585698	0.455585698
617	0.4542408938	0.4542408938
618	0.4529516626	0.4529516626
619	0.4525533667	0.4525533667
620	0.4519467744	0.4519467744
621	0.4513839173	0.4513839173
622	0.4514904911	0.4514904911
623	0.4507127553	0.4507127553
624	0.4498954151	0.4498954151
625	0.4495277499	0.4495277499
626	0.4491877336	0.4491877336
627	0.4491062654	0.4491062654
628	0.4482371801	0.4482371801
629	0.4484042365	0.4484042365
630	0.4480170715	0.4480170715
631	0.4477050835	0.4477050835
632	0.4474186209	0.4474186209
633	0.4472651514	0.4472651514
634	0.4466552521	0.4466552521
635	0.4452970706	0.4452970706
636	0.4451971505	0.4451971505
637	0.4449892108	0.4449892108
638	0.444807308	0.444807308
639	0.4448287729	0.4448287729
640	0.4448543482	0.4448543482
641	0.4450172599	0.4450172599
642	0.4447800349	0.4447800349
643	0.4446186323	0.4446186323
644	0.4448169498	0.4448169498
645	0.444629863	0.444629863
646	0.4441017461	0.4441017461
647	0.4437161121	0.4437161121
648	0.4437477303	0.4437477303
649	0.4425743894	0.4425743894
650	0.4426386857	0.4426386857
651	0.4427341104	0.4427341104
652	0.4428834508	0.4428834508
653	0.4419794074	0.4419794074
654	0.4419588754	0.4419588754
655	0.4420319547	0.4420319547
656	0.4417684849	0.4417684849
657	0.4419494856	0.4419494856
658	0.4420532939	0.4420532939
659	0.4420227671	0.4420227671
660	0.4419906667	0.4419906667
661	0.4406313851	0.4406313851
662	0.4402983777	0.4402983777
663	0.4394554374	0.4394554374
664	0.4395991265	0.4395991265
665	0.4385771966	0.4385771966
666	0.4364694212	0.4364694212
667	0.4364289635	0.4364289635
668	0.4364963363	0.4364963363
669	0.4356976209	0.4356976209
670	0.4351503115	0.4351503115
671	0.435194104	0.435194104
672	0.435421679	0.435421679
673	0.4351310679	0.4351310679
674	0.4352394354	0.4352394354
675	0.4340163932	0.4340163932
676	0.433625644	0.433625644
677	0.4337030905	0.4337030905
678	0.4327773752	0.4327773752
679	0.4328968269	0.4328968269
680	0.4320831072	0.4320831072
681	0.4315608891	0.4315608891
682	0.4302179904	0.4302179904
683	0.4300929371	0.4300929371
684	0.4296762081	0.4296762081
685	0.4299351663	0.4299351663
686	0.4302853207	0.4302853207
687	0.4301087715	0.4301087715
688	0.4302338574	0.4302338574
689	0.4301301295	0.4301301295
690	0.4295110732	0.4295110732
691	0.4293726265	0.4293726265
692	0.4292239252	0.4292239252
693	0.4293448809	0.4293448809
694	0.428047446	0.428047446
695	0.4272122005	0.4272122005
696	0.4271582975	0.4271582975
697	0.4272949227	0.4272949227
698	0.4259170942	0.4259170942
699	0.4260358099	0.4260358099
700	0.4261441265	0.4261441265
701	0.4262391224	0.4262391224
702	0.424709635	0.424709635
703	0.4250000875	0.4250000875
704	0.4244949763	0.4244949763
705	0.4233899316	0.4233899316
706	0.4219002684	0.4219002684
707	0.4210970321	0.4210970321
708	0.420819156	0.420819156
709	0.4204078893	0.4204078893
710	0.4195467558	0.4195467558
711	0.4186965329	0.4186965329
712	0.4184744102	0.4184744102
713	0.4187121467	0.4187121467
714	0.4175564868	0.4175564868
715	0.4169670665	0.4169670665
716	0.4160570711	0.4160570711
717	0.4157570642	0.4157570642
718	0.4152632251	0.4152632251
719	0.4154224088	0.4154224088
720	0.4155393961	0.4155393961
721	0.4162835741	0.4162835741
722	0.4158767512	0.4158767512
723	0.4155575432	0.4155575432
724	0.4148865941	0.4148865941
725	0.4147162114	0.4147162114
726	0.4140380295	0.4140380295
727	0.4130750955	0.4130750955
728	0.4120642168	0.4120642168
729	0.4122609471	0.4122609471
730	0.4123512023	0.4123512023
731	0.4118787364	0.4118787364
732	0.4114914077	0.4114914077
733	0.411623143	0.411623143
734	0.4103782471	0.4103782471
735	0.4103657254	0.4103657254
736	0.4097434426	0.4097434426
737	0.4088860986	0.4088860986
738	0.4084492628	0.4084492628
739	0.4080012234	0.4080012234
740	0.4078255577	0.4078255577
741	0.406802155	0.406802155
742	0.4063031309	0.4063031309
743	0.4065955475	0.4065955475
744	0.4063013023	0.4063013023
745	0.4059243675	0.4059243675
746	0.4052017155	0.4052017155
747	0.405028186	0.405028186
748	0.4046106621	0.4046106621
749	0.4047877707	0.4047877707
750	0.4048003759	0.4048003759
751	0.4038025696	0.4038025696
752	0.4033067826	0.4033067826
753	0.4034287754	0.4034287754
754	0.4030308865	0.4030308865
755	0.4032511097	0.4032511097
756	0.4030338609	0.4030338609
757	0.4017437349	0.4017437349
758	0.4018897428	0.4018897428
759	0.4020876552	0.4020876552
760	0.4016738315	0.4016738315
761	0.401751502	0.401751502
762	0.4021360454	0.4021360454
763	0.401793571	0.401793571
764	0.4021755901	0.4021755901
765	0.4021598697	0.4021598697
766	0.4022864683	0.4022864683
767	0.4012456088	0.4012456088
768	0.4009830371	0.4009830371
769	0.4002484109	0.4002484109
770	0.3984430358	0.3984430358
771	0.3980377037	0.3980377037
772	0.3979355737	0.3979355737
773	0.3976149504	0.3976149504
774	0.3972437714	0.3972437714
775	0.3973647778	0.3973647778
776	0.3960340037	0.3960340037
777	0.3954003264	0.3954003264
778	0.3950075444	0.3950075444
779	0.3946122004	0.3946122004
780	0.3946199824	0.3946199824
781	0.3945080395	0.3945080395
782	0.3943034752	0.3943034752
783	0.3933022106	0.3933022106
784	0.3934000209	0.3934000209
785	0.3935268361	0.3935268361
786	0.3932442842	0.3932442842
787	0.3927003077	0.3927003077
788	0.392670704	0.392670704
789	0.3925633122	0.3925633122
790	0.3916342155	0.3916342155
791	0.3910763514	0.3910763514
792	0.3905909009	0.3905909009
793	0.3900261717	0.3900261717
794	0.3900244249	0.3900244249
795	0.3901380494	0.3901380494
796	0.390187854	0.390187854
797	0.3901089482	0.3901089482
798	0.390179941	0.390179941
799	0.3901349338	0.3901349338
800	0.3896548703	0.3896548703
801	0.3897421116	0.3897421116
802	0.3898312809	0.3898312809
803	0.3891183044	0.3891183044
804	0.3889337774	0.3889337774
805	0.3888279541	0.3888279541
806	0.3888123429	0.3888123429
807	0.3881921766	0.3881921766
808	0.3882906436	0.3882906436
809	0.3878969681	0.3878969681
810	0.3868333	0.3868333
811	0.3869605684	0.3869605684
812	0.3857986998	0.3857986998
813	0.3850643648	0.3850643648
814	0.3851747711	0.3851747711
815	0.3846102402	0.3846102402
816	0.3845327592	0.3845327592
817	0.3845653102	0.3845653102
818	0.383602575	0.383602575
819	0.3826509427	0.3826509427
820	0.3827025315	0.3827025315
821	0.3829147298	0.3829147298
822	0.3830155783	0.3830155783
823	0.3826753745	0.3826753745
824	0.3817319024	0.3817319024
825	0.3813704462	0.3813704462
826	0.3806073138	0.3806073138
827	0.3797052257	0.3797052257
828	0.379236162	0.379236162
829	0.3794327089	0.3794327089
830	0.3794472661	0.3794472661
831	0.3784570868	0.3784570868
832	0.3785753788	0.3785753788
833	0.3783680109	0.3783680109
834	0.3775236288	0.3775236288
835	0.3767883078	0.3767883078
836	0.376296628	0.376296628
837	0.3761943955	0.3761943955
838	0.3753115515	0.3753115515
839	0.3752356275	0.3752356275
840	0.3754320537	0.3754320537
841	0.3744323686	0.3744323686
842	0.3743070123	0.3743070123
843	0.3731986201	0.3731986201
844	0.3731069218	0.3731069218
845	0.3733034242	0.3733034242
846	0.3724183505	0.3724183505
847	0.3720154173	0.3720154173
848	0.3720561467	0.3720561467
849	0.3715640184	0.3715640184
850	0.3715539164	0.3715539164
851	0.3710605784	0.3710605784
852	0.3709884022	0.3709884022
853	0.3709223392	0.3709223392
854	0.3706718822	0.3706718822
855	0.3709080421	0.3709080421
856	0.3708927851	0.3708927851
857	0.3707564943	0.3707564943
858	0.3711141573	0.3711141573
859	0.3693490346	0.3693490346
860	0.3692958329	0.3692958329
861	0.3689422344	0.3689422344
862	0.3687936405	0.3687936405
863	0.3677073113	0.3677073113
864	0.3672030905	0.3672030905
865	0.3672193874	0.3672193874
866	0.3665554547	0.3665554547
867	0.3665492108	0.3665492108
868	0.3667479675	0.3667479675
869	0.366141423	0.366141423
870	0.3662827053	0.3662827053
871	0.3657888593	0.3657888593
872	0.365509786	0.365509786
873	0.3652537321	0.3652537321
874	0.3644894721	0.3644894721
875	0.3646809729	0.3646809729
876	0.3646878453	0.3646878453
877	0.3648700682	0.3648700682
878	0.3644970183	0.3644970183
879	0.3644134659	0.3644134659
880	0.3639643831	0.3639643831
881	0.3639581587	0.3639581587
882	0.3640523676	0.3640523676
883	0.3642731594	0.3642731594
884	0.3636753517	0.3636753517
885	0.3636429007	0.3636429007
